	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.702 ± 0.060317	0.673 ± 0.045954	0.21382 ± 0.021404	0.680 ± 0.044309	0.346 ± 0.091907	0.6872 ± 0.098430	0.365 ± 0.093578	0.355 ± 0.092552	0.775 ± 0.058798	0.590 ± 0.039079	0.684 ± 0.067380	0.757 ± 0.041699	0.806 ± 0.065473	0.541 ± 0.062287
precision_recall_auc	0.768 ± 0.066847	0.706 ± 0.032887	0.19283 ± 0.015659	0.707 ± 0.032316	0.412 ± 0.065773	0.6353 ± 0.091700	0.424 ± 0.068335	0.418 ± 0.066688	0.801 ± 0.045831	0.624 ± 0.031041	0.755 ± 0.075408	0.803 ± 0.033680	0.817 ± 0.052705	0.595 ± 0.050023
roc_auc	0.756 ± 0.065308	0.724 ± 0.055366	0.18948 ± 0.022905	0.720 ± 0.053672	0.447 ± 0.110733	0.6540 ± 0.087559	0.455 ± 0.109238	0.451 ± 0.109800	0.806 ± 0.057535	0.649 ± 0.062453	0.738 ± 0.072550	0.813 ± 0.034367	0.811 ± 0.065210	0.636 ± 0.082988
