	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.840 ± 0.035336	0.743 ± 0.048635	0.17415 ± 0.021844	0.717 ± 0.065891	0.487 ± 0.097271	0.5911 ± 0.111383	0.489 ± 0.089900	0.488 ± 0.093587	0.778 ± 0.060994	0.710 ± 0.035443	0.836 ± 0.036015	0.819 ± 0.043340	0.728 ± 0.102940	0.759 ± 0.030679
precision_recall_auc	0.852 ± 0.023092	0.755 ± 0.031098	0.16979 ± 0.018957	0.729 ± 0.037564	0.510 ± 0.062196	0.5789 ± 0.130995	0.511 ± 0.058455	0.510 ± 0.060280	0.780 ± 0.036734	0.731 ± 0.024533	0.848 ± 0.023745	0.835 ± 0.030158	0.728 ± 0.055246	0.782 ± 0.019165
roc_auc	0.828 ± 0.041291	0.727 ± 0.047512	0.18336 ± 0.028813	0.699 ± 0.054674	0.455 ± 0.095025	0.6241 ± 0.147221	0.457 ± 0.092760	0.456 ± 0.093828	0.756 ± 0.045831	0.701 ± 0.052948	0.823 ± 0.042420	0.813 ± 0.053548	0.700 ± 0.070273	0.755 ± 0.057496
