	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.919 ± 0.017662	0.848 ± 0.043372	0.10858 ± 0.015268	0.831 ± 0.048382	0.696 ± 0.086744	0.3570 ± 0.037314	0.707 ± 0.087981	0.702 ± 0.087321	0.848 ± 0.036980	0.859 ± 0.052644	0.918 ± 0.018037	0.900 ± 0.025841	0.806 ± 0.047213	0.891 ± 0.043913
precision_recall_auc	0.911 ± 0.017498	0.771 ± 0.044033	0.11826 ± 0.010997	0.704 ± 0.076430	0.543 ± 0.088067	0.3803 ± 0.038670	0.701 ± 0.050611	0.616 ± 0.067615	0.735 ± 0.040296	0.966 ± 0.043982	0.909 ± 0.018079	0.896 ± 0.019224	0.561 ± 0.096047	0.982 ± 0.023473
roc_auc	0.900 ± 0.040231	0.694 ± 0.063339	0.12523 ± 0.028910	0.566 ± 0.099656	0.387 ± 0.126678	0.3929 ± 0.069524	0.625 ± 0.174139	0.491 ± 0.144618	0.669 ± 0.042476	0.956 ± 0.140546	0.897 ± 0.041374	0.887 ± 0.040576	0.406 ± 0.087057	0.982 ± 0.057496
