	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.834 ± 0.039648	0.720 ± 0.047468	0.17969 ± 0.022306	0.681 ± 0.061755	0.441 ± 0.094937	0.5706 ± 0.113571	0.452 ± 0.089490	0.447 ± 0.092163	0.736 ± 0.046818	0.716 ± 0.045289	0.830 ± 0.040797	0.814 ± 0.047836	0.650 ± 0.078785	0.791 ± 0.031782
precision_recall_auc	0.819 ± 0.020142	0.714 ± 0.035202	0.18733 ± 0.014056	0.672 ± 0.044060	0.429 ± 0.070404	0.6796 ± 0.136279	0.446 ± 0.073106	0.437 ± 0.071305	0.727 ± 0.033889	0.719 ± 0.048203	0.815 ± 0.020553	0.784 ± 0.035217	0.633 ± 0.059720	0.795 ± 0.044174
roc_auc	0.829 ± 0.034619	0.722 ± 0.026309	0.18781 ± 0.026004	0.687 ± 0.033979	0.444 ± 0.052619	0.6515 ± 0.196618	0.453 ± 0.051265	0.448 ± 0.051630	0.742 ± 0.031869	0.711 ± 0.032436	0.825 ± 0.035383	0.798 ± 0.048361	0.667 ± 0.058561	0.777 ± 0.039800
