	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.891 ± 0.029840	0.830 ± 0.034731	0.12720 ± 0.020354	0.803 ± 0.044196	0.660 ± 0.069462	0.4052 ± 0.063825	0.707 ± 0.072990	0.683 ± 0.070063	0.808 ± 0.031878	0.899 ± 0.054246	0.889 ± 0.030451	0.858 ± 0.044373	0.728 ± 0.055246	0.932 ± 0.038629
precision_recall_auc	0.920 ± 0.022079	0.769 ± 0.041512	0.11351 ± 0.015260	0.697 ± 0.071779	0.539 ± 0.083024	0.3665 ± 0.063341	0.728 ± 0.035534	0.625 ± 0.064011	0.728 ± 0.035534	1.000 ± 0.000000	0.918 ± 0.022462	0.916 ± 0.034967	0.539 ± 0.083024	1.000 ± 0.000000
roc_auc	0.923 ± 0.023103	0.761 ± 0.032605	0.11240 ± 0.016916	0.684 ± 0.056385	0.522 ± 0.065210	0.3553 ± 0.053596	0.720 ± 0.027685	0.613 ± 0.050128	0.720 ± 0.027685	1.000 ± 0.000000	0.921 ± 0.023486	0.921 ± 0.037274	0.522 ± 0.065210	1.000 ± 0.000000
