	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.777, 0.878]	[0.732, 0.816]	[0.13439, 0.19430]	[0.667, 0.788]	[0.465, 0.631]	[0.4151, 0.5995]	[0.500, 0.667]	[0.492, 0.649]	[0.714, 0.800]	[0.750, 0.867]	[0.773, 0.876]	[0.669, 0.828]	[0.556, 0.722]	[0.818, 0.909]
precision_recall_auc	[0.803, 0.940]	[0.654, 0.833]	[0.10139, 0.18360]	[0.538, 0.800]	[0.308, 0.667]	[0.3289, 0.5339]	[0.382, 0.786]	[0.343, 0.724]	[0.655, 0.786]	[0.727, 1.000]	[0.799, 0.938]	[0.758, 0.932]	[0.389, 0.667]	[0.864, 1.000]
roc_auc	[0.816, 0.924]	[0.654, 0.778]	[0.09939, 0.18372]	[0.552, 0.714]	[0.308, 0.556]	[0.3242, 0.5353]	[0.382, 0.733]	[0.343, 0.638]	[0.655, 0.733]	[0.727, 1.000]	[0.812, 0.922]	[0.773, 0.929]	[0.444, 0.556]	[0.864, 1.000]
