	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.929 ± 0.035141	0.842 ± 0.026465	0.09915 ± 0.017853	0.819 ± 0.030467	0.684 ± 0.052930	0.3542 ± 0.128470	0.736 ± 0.069601	0.710 ± 0.060306	0.816 ± 0.018172	0.920 ± 0.058428	0.927 ± 0.037694	0.921 ± 0.020453	0.739 ± 0.026836	0.945 ± 0.041770
precision_recall_auc	0.922 ± 0.015497	0.751 ± 0.046576	0.10951 ± 0.013230	0.665 ± 0.079388	0.501 ± 0.093151	0.3453 ± 0.033364	0.702 ± 0.059944	0.592 ± 0.078019	0.713 ± 0.038564	0.989 ± 0.035136	0.921 ± 0.015843	0.910 ± 0.021495	0.506 ± 0.088618	0.995 ± 0.014374
roc_auc	0.906 ± 0.031194	0.744 ± 0.039754	0.12091 ± 0.020396	0.660 ± 0.061776	0.487 ± 0.079509	0.3824 ± 0.063579	0.667 ± 0.077196	0.570 ± 0.076782	0.709 ± 0.031794	0.958 ± 0.054634	0.903 ± 0.032372	0.905 ± 0.030261	0.506 ± 0.066512	0.982 ± 0.023473
