	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.926 ± 0.011944	0.856 ± 0.022296	0.10866 ± 0.004436	0.839 ± 0.026625	0.711 ± 0.044592	0.3481 ± 0.016213	0.723 ± 0.040094	0.717 ± 0.042173	0.854 ± 0.025097	0.869 ± 0.022237	0.924 ± 0.012282	0.916 ± 0.013562	0.811 ± 0.038845	0.900 ± 0.019165
precision_recall_auc	0.909 ± 0.022017	0.733 ± 0.068293	0.11759 ± 0.014415	0.626 ± 0.126081	0.467 ± 0.136586	0.3709 ± 0.039719	0.700 ± 0.056356	0.569 ± 0.106940	0.700 ± 0.056356	1.000 ± 0.000000	0.907 ± 0.022961	0.907 ± 0.018305	0.467 ± 0.136586	1.000 ± 0.000000
roc_auc	0.912 ± 0.021564	0.756 ± 0.075177	0.11464 ± 0.012994	0.667 ± 0.134613	0.512 ± 0.150355	0.3632 ± 0.036293	0.713 ± 0.066362	0.601 ± 0.116860	0.721 ± 0.065163	0.992 ± 0.026352	0.910 ± 0.022384	0.907 ± 0.020148	0.517 ± 0.152820	0.995 ± 0.014374
