	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.928 ± 0.007879	0.865 ± 0.024051	0.10430 ± 0.011384	0.847 ± 0.027050	0.730 ± 0.048102	0.3357 ± 0.024657	0.785 ± 0.072231	0.757 ± 0.059163	0.835 ± 0.012568	0.951 ± 0.068733	0.926 ± 0.007977	0.912 ± 0.015795	0.767 ± 0.023424	0.964 ± 0.051604
precision_recall_auc	0.915 ± 0.019440	0.776 ± 0.076317	0.11554 ± 0.013842	0.703 ± 0.129188	0.552 ± 0.152634	0.3663 ± 0.045004	0.720 ± 0.087378	0.628 ± 0.124683	0.739 ± 0.067692	0.981 ± 0.041512	0.914 ± 0.019849	0.897 ± 0.029779	0.561 ± 0.149186	0.991 ± 0.019165
roc_auc	0.918 ± 0.022635	0.798 ± 0.054997	0.11407 ± 0.016268	0.745 ± 0.081350	0.596 ± 0.109995	0.3604 ± 0.052052	0.740 ± 0.070360	0.663 ± 0.090382	0.757 ± 0.052842	0.983 ± 0.036777	0.917 ± 0.023168	0.905 ± 0.033523	0.606 ± 0.106219	0.991 ± 0.019165
