	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.687, 0.808]	[0.629, 0.753]	[0.19573, 0.23756]	[0.615, 0.737]	[0.258, 0.505]	[0.6452, 0.8325]	[0.256, 0.500]	[0.257, 0.503]	[0.684, 0.824]	[0.571, 0.700]	[0.676, 0.803]	[0.692, 0.788]	[0.611, 0.833]	[0.591, 0.727]
precision_recall_auc	[0.587, 0.883]	[0.573, 0.821]	[0.15168, 0.28729]	[0.541, 0.800]	[0.146, 0.641]	[0.5006, 1.0430]	[0.145, 0.650]	[0.146, 0.646]	[0.619, 0.850]	[0.526, 0.824]	[0.568, 0.880]	[0.641, 0.851]	[0.556, 0.833]	[0.545, 0.864]
roc_auc	[0.668, 0.853]	[0.596, 0.770]	[0.16723, 0.23938]	[0.556, 0.743]	[0.192, 0.540]	[0.5293, 0.8463]	[0.192, 0.547]	[0.192, 0.544]	[0.636, 0.824]	[0.556, 0.765]	[0.654, 0.849]	[0.715, 0.836]	[0.556, 0.833]	[0.591, 0.818]
