	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.777 ± 0.050260	0.788 ± 0.034715	0.17415 ± 0.018269	0.762 ± 0.041726	0.575 ± 0.069431	0.5848 ± 0.072491	0.586 ± 0.068689	0.581 ± 0.068789	0.798 ± 0.037374	0.788 ± 0.042647	0.766 ± 0.057127	0.796 ± 0.031152	0.739 ± 0.058853	0.836 ± 0.038331
precision_recall_auc	0.744 ± 0.055460	0.724 ± 0.073854	0.19368 ± 0.027465	0.678 ± 0.096472	0.448 ± 0.147708	0.6270 ± 0.076284	0.472 ± 0.143740	0.460 ± 0.144853	0.738 ± 0.076027	0.734 ± 0.083798	0.730 ± 0.061922	0.776 ± 0.046536	0.639 ± 0.131599	0.809 ± 0.067079
roc_auc	0.756 ± 0.072994	0.720 ± 0.081385	0.19868 ± 0.039081	0.681 ± 0.098379	0.441 ± 0.162770	0.6377 ± 0.121198	0.454 ± 0.169236	0.448 ± 0.165858	0.735 ± 0.067698	0.719 ± 0.105289	0.745 ± 0.078811	0.775 ± 0.059811	0.650 ± 0.101599	0.791 ± 0.080745
