	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.675, 0.793]	[0.596, 0.747]	[0.18595, 0.27268]	[0.556, 0.722]	[0.192, 0.495]	[0.6347, 1.7480]	[0.192, 0.500]	[0.192, 0.495]	[0.636, 0.773]	[0.556, 0.750]	[0.662, 0.785]	[0.684, 0.813]	[0.500, 0.722]	[0.636, 0.818]
precision_recall_auc	[0.712, 0.823]	[0.609, 0.770]	[0.16854, 0.26243]	[0.516, 0.743]	[0.217, 0.540]	[0.6088, 1.0774]	[0.245, 0.560]	[0.231, 0.545]	[0.630, 0.783]	[0.615, 0.800]	[0.704, 0.816]	[0.662, 0.828]	[0.444, 0.722]	[0.773, 0.864]
roc_auc	[0.613, 0.871]	[0.568, 0.770]	[0.15366, 0.29292]	[0.514, 0.743]	[0.136, 0.540]	[0.5645, 1.1323]	[0.138, 0.560]	[0.137, 0.545]	[0.609, 0.800]	[0.529, 0.800]	[0.599, 0.867]	[0.626, 0.881]	[0.500, 0.778]	[0.636, 0.864]
