	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.787 ± 0.090391	0.752 ± 0.056258	0.17933 ± 0.030532	0.741 ± 0.054561	0.505 ± 0.112517	0.6617 ± 0.130044	0.502 ± 0.110000	0.503 ± 0.111245	0.811 ± 0.056058	0.691 ± 0.058331	0.776 ± 0.098992	0.812 ± 0.057353	0.800 ± 0.059720	0.705 ± 0.071870
precision_recall_auc	0.847 ± 0.064244	0.796 ± 0.054027	0.15175 ± 0.021940	0.779 ± 0.058331	0.592 ± 0.108054	0.5359 ± 0.087232	0.592 ± 0.106913	0.592 ± 0.107360	0.834 ± 0.055571	0.758 ± 0.064504	0.841 ± 0.069138	0.863 ± 0.036077	0.806 ± 0.075223	0.786 ± 0.067929
roc_auc	0.853 ± 0.061056	0.799 ± 0.056707	0.14676 ± 0.026553	0.781 ± 0.059909	0.598 ± 0.113414	0.5344 ± 0.101624	0.599 ± 0.118451	0.599 ± 0.115841	0.824 ± 0.048612	0.775 ± 0.077608	0.845 ± 0.066666	0.869 ± 0.039464	0.789 ± 0.057378	0.809 ± 0.073606
