	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.935 ± 0.009629	0.839 ± 0.024332	0.10995 ± 0.005491	0.818 ± 0.030923	0.678 ± 0.048665	0.3894 ± 0.112805	0.701 ± 0.045842	0.689 ± 0.045970	0.834 ± 0.032722	0.867 ± 0.043369	0.934 ± 0.009958	0.934 ± 0.016671	0.778 ± 0.058561	0.900 ± 0.041770
precision_recall_auc	0.944 ± 0.009613	0.859 ± 0.024742	0.10261 ± 0.005257	0.841 ± 0.029384	0.717 ± 0.049485	0.4486 ± 0.356065	0.745 ± 0.051231	0.731 ± 0.049075	0.847 ± 0.031610	0.897 ± 0.048146	0.944 ± 0.009351	0.942 ± 0.016685	0.794 ± 0.052705	0.923 ± 0.043122
roc_auc	0.941 ± 0.011430	0.854 ± 0.024303	0.10707 ± 0.005035	0.836 ± 0.028326	0.708 ± 0.048606	0.4626 ± 0.351856	0.729 ± 0.051162	0.719 ± 0.049271	0.845 ± 0.023676	0.884 ± 0.039806	0.940 ± 0.011477	0.938 ± 0.016819	0.794 ± 0.037497	0.914 ± 0.033539
