	time	scoring	best_params	best_score
0	III14	mcc	{'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__n_estimators': 100}	0.656242365759444
1	III14	precision_recall_auc	{'randomforestclassifier__max_features': 0.1, 'randomforestclassifier__n_estimators': 1000}	0.8898978505287234
2	III14	roc_auc	{'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__n_estimators': 500}	0.8842171717171718
3	C-1	mcc	{'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__n_estimators': 500}	0.703108336273247
4	C-1	precision_recall_auc	{'randomforestclassifier__max_features': 0.1, 'randomforestclassifier__n_estimators': 1000}	0.9004410414339308
5	C-1	roc_auc	{'randomforestclassifier__max_features': 0.1, 'randomforestclassifier__n_estimators': 1000}	0.8799242424242424
