	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.829 ± 0.041386	0.781 ± 0.035773	0.15879 ± 0.015913	0.760 ± 0.039787	0.562 ± 0.071546	0.5089 ± 0.043016	0.562 ± 0.070471	0.562 ± 0.070946	0.807 ± 0.035534	0.755 ± 0.042429	0.822 ± 0.044858	0.833 ± 0.026565	0.767 ± 0.051052	0.795 ± 0.044174
precision_recall_auc	0.820 ± 0.062590	0.757 ± 0.072450	0.16151 ± 0.026855	0.722 ± 0.095051	0.514 ± 0.144900	0.5174 ± 0.067792	0.525 ± 0.133938	0.519 ± 0.139442	0.774 ± 0.074165	0.752 ± 0.066251	0.813 ± 0.066872	0.823 ± 0.040095	0.700 ± 0.126144	0.814 ± 0.050023
roc_auc	0.832 ± 0.058509	0.768 ± 0.072346	0.15957 ± 0.022412	0.737 ± 0.092616	0.536 ± 0.144692	0.5145 ± 0.061749	0.543 ± 0.134624	0.539 ± 0.139704	0.786 ± 0.073388	0.757 ± 0.064807	0.826 ± 0.062694	0.831 ± 0.033097	0.722 ± 0.120014	0.814 ± 0.045201
