	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.926 ± 0.014138	0.858 ± 0.018952	0.10645 ± 0.009818	0.842 ± 0.023085	0.717 ± 0.037903	0.3458 ± 0.028650	0.728 ± 0.032501	0.722 ± 0.034983	0.858 ± 0.023185	0.870 ± 0.020111	0.924 ± 0.014588	0.907 ± 0.012488	0.817 ± 0.037497	0.900 ± 0.019165
precision_recall_auc	0.918 ± 0.014115	0.800 ± 0.083567	0.11073 ± 0.007853	0.741 ± 0.134647	0.599 ± 0.167134	0.3557 ± 0.022273	0.729 ± 0.088032	0.659 ± 0.131109	0.768 ± 0.082819	0.961 ± 0.043367	0.916 ± 0.014589	0.903 ± 0.013523	0.622 ± 0.175291	0.977 ± 0.023957
roc_auc	0.917 ± 0.012929	0.804 ± 0.071214	0.11395 ± 0.007459	0.753 ± 0.106003	0.607 ± 0.142429	0.3610 ± 0.023027	0.717 ± 0.095016	0.658 ± 0.118454	0.772 ± 0.072470	0.945 ± 0.052885	0.915 ± 0.013272	0.903 ± 0.015393	0.639 ± 0.144040	0.968 ± 0.030679
