	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.790 ± 0.060226	0.715 ± 0.072047	0.18818 ± 0.026127	0.675 ± 0.096667	0.429 ± 0.144094	0.5784 ± 0.068734	0.442 ± 0.140494	0.435 ± 0.142032	0.742 ± 0.080359	0.700 ± 0.075024	0.783 ± 0.062757	0.784 ± 0.064481	0.661 ± 0.137212	0.768 ± 0.069267
precision_recall_auc	0.789 ± 0.032865	0.710 ± 0.043459	0.18771 ± 0.015729	0.661 ± 0.061563	0.420 ± 0.086918	0.5766 ± 0.051374	0.448 ± 0.090102	0.434 ± 0.087585	0.720 ± 0.039725	0.728 ± 0.065607	0.784 ± 0.035328	0.785 ± 0.028424	0.611 ± 0.086860	0.809 ± 0.067079
roc_auc	0.793 ± 0.030780	0.699 ± 0.043136	0.18766 ± 0.015912	0.648 ± 0.070391	0.397 ± 0.086272	0.5725 ± 0.050526	0.422 ± 0.076112	0.409 ± 0.080381	0.717 ± 0.047716	0.705 ± 0.051989	0.787 ± 0.032275	0.786 ± 0.027328	0.611 ± 0.114156	0.786 ± 0.071228
