	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.767, 0.853]	[0.669, 0.803]	[0.15123, 0.17808]	[0.629, 0.789]	[0.338, 0.606]	[0.4611, 0.5266]	[0.343, 0.600]	[0.341, 0.603]	[0.696, 0.850]	[0.636, 0.778]	[0.767, 0.853]	[0.811, 0.874]	[0.611, 0.833]	[0.636, 0.818]
precision_recall_auc	[0.777, 0.849]	[0.669, 0.793]	[0.14611, 0.17858]	[0.629, 0.765]	[0.338, 0.586]	[0.4446, 0.5209]	[0.343, 0.604]	[0.341, 0.595]	[0.696, 0.800]	[0.647, 0.812]	[0.767, 0.852]	[0.816, 0.872]	[0.611, 0.778]	[0.682, 0.864]
roc_auc	[0.763, 0.854]	[0.674, 0.848]	[0.14380, 0.18229]	[0.649, 0.833]	[0.348, 0.697]	[0.4378, 0.5321]	[0.346, 0.697]	[0.347, 0.697]	[0.714, 0.864]	[0.632, 0.833]	[0.753, 0.849]	[0.802, 0.869]	[0.667, 0.833]	[0.682, 0.864]
