	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.820, 0.906]	[0.682, 0.816]	[0.11887, 0.18938]	[0.600, 0.788]	[0.364, 0.631]	[0.3649, 0.5537]	[0.429, 0.701]	[0.395, 0.660]	[0.679, 0.800]	[0.750, 0.923]	[0.815, 0.904]	[0.783, 0.909]	[0.500, 0.722]	[0.818, 0.955]
precision_recall_auc	[0.877, 0.935]	[0.727, 0.861]	[0.10014, 0.15513]	[0.643, 0.839]	[0.455, 0.722]	[0.3228, 0.5031]	[0.587, 0.815]	[0.522, 0.767]	[0.700, 0.815]	[0.846, 1.000]	[0.874, 0.934]	[0.843, 0.932]	[0.500, 0.722]	[0.909, 1.000]
roc_auc	[0.875, 0.935]	[0.727, 0.861]	[0.10014, 0.15415]	[0.643, 0.839]	[0.455, 0.722]	[0.3228, 0.5314]	[0.548, 0.815]	[0.504, 0.767]	[0.700, 0.815]	[0.833, 1.000]	[0.872, 0.934]	[0.843, 0.932]	[0.500, 0.722]	[0.909, 1.000]
