	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.914, 0.962]	[0.816, 0.871]	[0.08580, 0.13227]	[0.788, 0.857]	[0.631, 0.742]	[0.2790, 0.4195]	[0.650, 0.773]	[0.646, 0.753]	[0.800, 0.870]	[0.824, 0.933]	[0.911, 0.961]	[0.914, 0.967]	[0.722, 0.833]	[0.864, 0.955]
precision_recall_auc	[0.943, 0.969]	[0.838, 0.917]	[0.08263, 0.10042]	[0.813, 0.909]	[0.677, 0.833]	[0.2657, 0.3309]	[0.697, 0.880]	[0.697, 0.856]	[0.808, 0.880]	[0.833, 1.000]	[0.941, 0.968]	[0.942, 0.970]	[0.722, 0.833]	[0.864, 1.000]
roc_auc	[0.943, 0.965]	[0.821, 0.894]	[0.08349, 0.09952]	[0.800, 0.882]	[0.641, 0.788]	[0.2759, 0.3350]	[0.650, 0.812]	[0.646, 0.800]	[0.808, 0.875]	[0.824, 0.938]	[0.942, 0.964]	[0.937, 0.967]	[0.722, 0.833]	[0.864, 0.955]
