	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.906, 0.940]	[0.793, 0.871]	[0.10076, 0.12355]	[0.765, 0.857]	[0.586, 0.742]	[0.3278, 0.3821]	[0.604, 0.752]	[0.595, 0.747]	[0.792, 0.870]	[0.812, 0.882]	[0.904, 0.938]	[0.891, 0.939]	[0.722, 0.833]	[0.864, 0.909]
precision_recall_auc	[0.896, 0.936]	[0.611, 0.833]	[0.08855, 0.12021]	[0.364, 0.800]	[0.222, 0.667]	[0.3002, 0.3875]	[0.548, 0.786]	[0.369, 0.724]	[0.611, 0.786]	[0.833, 1.000]	[0.894, 0.935]	[0.889, 0.924]	[0.222, 0.667]	[0.909, 1.000]
roc_auc	[0.896, 0.936]	[0.672, 0.806]	[0.09727, 0.13367]	[0.538, 0.759]	[0.343, 0.611]	[0.3142, 0.4039]	[0.531, 0.759]	[0.427, 0.681]	[0.656, 0.759]	[0.875, 1.000]	[0.894, 0.935]	[0.889, 0.924]	[0.389, 0.611]	[0.955, 1.000]
