	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.621 ± 0.067610	0.661 ± 0.053101	0.22785 ± 0.014347	0.674 ± 0.055307	0.322 ± 0.106202	0.6763 ± 0.029060	0.356 ± 0.127438	0.338 ± 0.116133	0.783 ± 0.093231	0.572 ± 0.036780	0.597 ± 0.076220	0.691 ± 0.031854	0.822 ± 0.093697	0.500 ± 0.037113
precision_recall_auc	0.591 ± 0.060789	0.593 ± 0.060833	0.24944 ± 0.024588	0.521 ± 0.110398	0.186 ± 0.121666	0.7413 ± 0.080277	0.198 ± 0.123739	0.192 ± 0.122592	0.632 ± 0.055756	0.566 ± 0.075272	0.566 ± 0.066932	0.658 ± 0.051767	0.500 ± 0.152708	0.686 ± 0.108097
roc_auc	0.598 ± 0.059522	0.653 ± 0.057868	0.23988 ± 0.027166	0.641 ± 0.075735	0.307 ± 0.115735	0.7148 ± 0.091842	0.319 ± 0.121060	0.312 ± 0.117966	0.728 ± 0.079935	0.591 ± 0.057699	0.575 ± 0.064974	0.672 ± 0.045345	0.711 ± 0.135578	0.595 ± 0.094500
