	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.835 ± 0.049718	0.774 ± 0.032624	0.17039 ± 0.027734	0.750 ± 0.038156	0.549 ± 0.065247	0.6169 ± 0.195685	0.558 ± 0.067124	0.553 ± 0.065516	0.796 ± 0.040856	0.761 ± 0.052875	0.830 ± 0.051802	0.821 ± 0.042235	0.744 ± 0.070273	0.805 ± 0.060795
precision_recall_auc	0.857 ± 0.035681	0.775 ± 0.039999	0.16019 ± 0.027004	0.747 ± 0.047937	0.551 ± 0.079997	0.5782 ± 0.142109	0.566 ± 0.082703	0.558 ± 0.080730	0.791 ± 0.051459	0.776 ± 0.060952	0.853 ± 0.036972	0.849 ± 0.036868	0.728 ± 0.084660	0.823 ± 0.065870
roc_auc	0.849 ± 0.041913	0.763 ± 0.044229	0.16677 ± 0.033076	0.733 ± 0.056681	0.526 ± 0.088458	0.5915 ± 0.175741	0.537 ± 0.080088	0.531 ± 0.083948	0.781 ± 0.054578	0.756 ± 0.042132	0.845 ± 0.043024	0.841 ± 0.050385	0.717 ± 0.092407	0.809 ± 0.046945
