	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.782 ± 0.037625	0.713 ± 0.033336	0.17641 ± 0.012033	0.686 ± 0.041754	0.426 ± 0.066672	0.5197 ± 0.035507	0.426 ± 0.064386	0.426 ± 0.065498	0.747 ± 0.036199	0.679 ± 0.033067	0.774 ± 0.040399	0.811 ± 0.031905	0.694 ± 0.060007	0.732 ± 0.033539
precision_recall_auc	0.788 ± 0.040304	0.712 ± 0.034001	0.17435 ± 0.011146	0.681 ± 0.038023	0.423 ± 0.068002	0.5144 ± 0.033977	0.425 ± 0.068056	0.424 ± 0.068009	0.739 ± 0.031305	0.686 ± 0.039323	0.781 ± 0.042704	0.818 ± 0.028410	0.678 ± 0.043823	0.745 ± 0.038331
roc_auc	0.778 ± 0.036070	0.710 ± 0.031452	0.17700 ± 0.009970	0.683 ± 0.036896	0.421 ± 0.062903	0.5222 ± 0.034766	0.423 ± 0.062999	0.422 ± 0.062825	0.743 ± 0.032310	0.680 ± 0.042941	0.772 ± 0.038016	0.810 ± 0.026911	0.689 ± 0.059720	0.732 ± 0.058486
