	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.770 ± 0.076439	0.732 ± 0.037229	0.19002 ± 0.028344	0.718 ± 0.038450	0.463 ± 0.074458	0.6472 ± 0.112805	0.464 ± 0.072322	0.463 ± 0.073319	0.790 ± 0.041354	0.674 ± 0.044992	0.759 ± 0.082247	0.800 ± 0.043994	0.772 ± 0.061139	0.691 ± 0.067079
precision_recall_auc	0.802 ± 0.059660	0.766 ± 0.053635	0.16950 ± 0.022346	0.743 ± 0.060306	0.532 ± 0.107271	0.5916 ± 0.143151	0.535 ± 0.106629	0.533 ± 0.106796	0.795 ± 0.055041	0.740 ± 0.063204	0.789 ± 0.068809	0.845 ± 0.034001	0.750 ± 0.079651	0.782 ± 0.063564
roc_auc	0.804 ± 0.064729	0.768 ± 0.043201	0.16548 ± 0.023921	0.746 ± 0.040757	0.535 ± 0.086402	0.6068 ± 0.171507	0.542 ± 0.098340	0.539 ± 0.092155	0.790 ± 0.025642	0.752 ± 0.079185	0.790 ± 0.074116	0.846 ± 0.037690	0.744 ± 0.028689	0.791 ± 0.083540
