	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.866 ± 0.024264	0.814 ± 0.019671	0.14099 ± 0.012124	0.793 ± 0.021678	0.628 ± 0.039341	0.4608 ± 0.042452	0.636 ± 0.044460	0.632 ± 0.041503	0.825 ± 0.021600	0.812 ± 0.041161	0.862 ± 0.026079	0.853 ± 0.023382	0.778 ± 0.037037	0.850 ± 0.043122
precision_recall_auc	0.861 ± 0.043003	0.818 ± 0.031121	0.14014 ± 0.022854	0.798 ± 0.033986	0.637 ± 0.062242	0.4616 ± 0.074331	0.647 ± 0.070477	0.642 ± 0.066073	0.826 ± 0.026257	0.822 ± 0.055150	0.856 ± 0.045348	0.854 ± 0.041118	0.778 ± 0.037037	0.859 ± 0.050023
roc_auc	0.869 ± 0.031131	0.829 ± 0.027010	0.13845 ± 0.018390	0.807 ± 0.031397	0.658 ± 0.054019	0.4638 ± 0.062833	0.677 ± 0.057562	0.667 ± 0.055488	0.824 ± 0.024004	0.853 ± 0.039938	0.865 ± 0.032264	0.858 ± 0.033502	0.767 ± 0.035136	0.891 ± 0.031782
