	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.754 ± 0.053408	0.677 ± 0.044517	0.19535 ± 0.018368	0.638 ± 0.052492	0.354 ± 0.089033	0.5765 ± 0.051029	0.359 ± 0.091935	0.357 ± 0.090429	0.703 ± 0.037751	0.656 ± 0.056688	0.751 ± 0.050493	0.766 ± 0.037957	0.622 ± 0.057378	0.732 ± 0.050023
precision_recall_auc	0.797 ± 0.052660	0.715 ± 0.050125	0.18386 ± 0.019698	0.679 ± 0.061617	0.429 ± 0.100250	0.5503 ± 0.050311	0.437 ± 0.097521	0.433 ± 0.098774	0.737 ± 0.049490	0.700 ± 0.053893	0.793 ± 0.054809	0.802 ± 0.047179	0.661 ± 0.080508	0.768 ± 0.050023
roc_auc	0.798 ± 0.043469	0.707 ± 0.050483	0.18056 ± 0.022095	0.669 ± 0.060474	0.414 ± 0.100967	0.5396 ± 0.052252	0.421 ± 0.099642	0.417 ± 0.100209	0.729 ± 0.048529	0.692 ± 0.055065	0.792 ± 0.044920	0.801 ± 0.046618	0.650 ± 0.074305	0.764 ± 0.046945
