	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.899 ± 0.021094	0.811 ± 0.018559	0.13044 ± 0.008744	0.787 ± 0.019443	0.623 ± 0.037117	0.4202 ± 0.031196	0.642 ± 0.051404	0.632 ± 0.043636	0.810 ± 0.014450	0.832 ± 0.050806	0.896 ± 0.022282	0.892 ± 0.016700	0.750 ± 0.029280	0.873 ± 0.046945
precision_recall_auc	0.903 ± 0.036243	0.817 ± 0.029574	0.12488 ± 0.011989	0.796 ± 0.034398	0.633 ± 0.059148	0.4524 ± 0.165655	0.641 ± 0.058512	0.637 ± 0.058503	0.829 ± 0.036692	0.812 ± 0.038635	0.899 ± 0.040638	0.901 ± 0.026067	0.783 ± 0.055246	0.850 ± 0.037421
roc_auc	0.904 ± 0.033634	0.819 ± 0.017818	0.12500 ± 0.008409	0.799 ± 0.019894	0.638 ± 0.035637	0.4595 ± 0.162246	0.645 ± 0.040230	0.642 ± 0.037644	0.829 ± 0.019073	0.817 ± 0.035696	0.901 ± 0.037775	0.897 ± 0.020244	0.783 ± 0.031536	0.855 ± 0.035855
