	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.789, 0.918]	[0.765, 0.871]	[0.11724, 0.14934]	[0.727, 0.857]	[0.530, 0.742]	[0.3919, 0.5234]	[0.547, 0.752]	[0.544, 0.747]	[0.760, 0.870]	[0.765, 0.882]	[0.774, 0.919]	[0.861, 0.912]	[0.667, 0.833]	[0.818, 0.909]
precision_recall_auc	[0.795, 0.921]	[0.770, 0.876]	[0.12088, 0.15039]	[0.743, 0.865]	[0.540, 0.753]	[0.4046, 1.4074]	[0.547, 0.747]	[0.544, 0.750]	[0.783, 0.905]	[0.765, 0.867]	[0.758, 0.919]	[0.846, 0.917]	[0.722, 0.889]	[0.818, 0.909]
roc_auc	[0.795, 0.922]	[0.793, 0.848]	[0.12104, 0.15202]	[0.765, 0.833]	[0.586, 0.697]	[0.4028, 1.4111]	[0.604, 0.708]	[0.595, 0.698]	[0.792, 0.864]	[0.789, 0.875]	[0.758, 0.923]	[0.846, 0.910]	[0.722, 0.833]	[0.818, 0.909]
