	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.879 ± 0.032578	0.796 ± 0.045524	0.14702 ± 0.016327	0.777 ± 0.043901	0.591 ± 0.091048	0.5008 ± 0.047920	0.593 ± 0.093605	0.592 ± 0.092304	0.816 ± 0.031449	0.777 ± 0.063449	0.876 ± 0.033937	0.866 ± 0.031893	0.778 ± 0.026189	0.814 ± 0.069267
precision_recall_auc	0.875 ± 0.038304	0.828 ± 0.025084	0.14238 ± 0.012381	0.811 ± 0.026732	0.657 ± 0.050167	0.5015 ± 0.077217	0.658 ± 0.052620	0.657 ± 0.051311	0.846 ± 0.021261	0.812 ± 0.038625	0.872 ± 0.040591	0.874 ± 0.038224	0.811 ± 0.028689	0.845 ± 0.038331
roc_auc	0.866 ± 0.050135	0.831 ± 0.040254	0.14515 ± 0.015876	0.814 ± 0.046060	0.662 ± 0.080508	0.5202 ± 0.085830	0.662 ± 0.078963	0.662 ± 0.079728	0.850 ± 0.039009	0.812 ± 0.041448	0.862 ± 0.052969	0.869 ± 0.036572	0.817 ± 0.052705	0.845 ± 0.031782
