	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.913 ± 0.020935	0.846 ± 0.017675	0.12455 ± 0.010003	0.831 ± 0.019114	0.692 ± 0.035350	0.4121 ± 0.035832	0.693 ± 0.038352	0.693 ± 0.036753	0.863 ± 0.017908	0.830 ± 0.032919	0.911 ± 0.021769	0.901 ± 0.018587	0.833 ± 0.026189	0.859 ± 0.033539
precision_recall_auc	0.886 ± 0.036729	0.749 ± 0.069807	0.13084 ± 0.019111	0.685 ± 0.112452	0.499 ± 0.139615	0.4247 ± 0.058431	0.577 ± 0.099461	0.535 ± 0.119310	0.738 ± 0.070345	0.839 ± 0.054798	0.882 ± 0.038292	0.891 ± 0.031893	0.594 ± 0.150559	0.905 ± 0.045201
roc_auc	0.891 ± 0.038783	0.767 ± 0.051999	0.13275 ± 0.016711	0.721 ± 0.078884	0.534 ± 0.103998	0.4325 ± 0.065918	0.581 ± 0.071126	0.556 ± 0.086203	0.766 ± 0.068180	0.815 ± 0.044360	0.887 ± 0.040549	0.893 ± 0.031788	0.661 ± 0.134690	0.873 ± 0.051604
