	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.943 ± 0.010152	0.876 ± 0.034429	0.08913 ± 0.009249	0.858 ± 0.045686	0.752 ± 0.068857	0.3297 ± 0.026417	0.823 ± 0.050380	0.786 ± 0.059056	0.837 ± 0.035800	0.986 ± 0.029135	0.942 ± 0.010347	0.920 ± 0.015349	0.761 ± 0.064417	0.991 ± 0.019165
precision_recall_auc	0.910 ± 0.044182	0.729 ± 0.076621	0.11708 ± 0.024688	0.639 ± 0.141036	0.459 ± 0.153241	0.3981 ± 0.075702	0.592 ± 0.122030	0.518 ± 0.134914	0.712 ± 0.068365	0.879 ± 0.093334	0.907 ± 0.047873	0.895 ± 0.031590	0.522 ± 0.168101	0.936 ± 0.057496
roc_auc	0.909 ± 0.032523	0.752 ± 0.070461	0.12555 ± 0.028161	0.690 ± 0.112457	0.505 ± 0.140921	0.4110 ± 0.078096	0.585 ± 0.115766	0.542 ± 0.125465	0.741 ± 0.071906	0.843 ± 0.079762	0.906 ± 0.033389	0.891 ± 0.034931	0.600 ± 0.152258	0.905 ± 0.054419
