	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.726, 0.948]	[0.715, 0.889]	[0.09803, 0.23630]	[0.667, 0.875]	[0.429, 0.778]	[0.3372, 0.7108]	[0.453, 0.846]	[0.441, 0.811]	[0.720, 0.846]	[0.652, 1.000]	[0.718, 0.947]	[0.689, 0.934]	[0.611, 0.833]	[0.636, 1.000]
precision_recall_auc	[0.684, 0.894]	[0.702, 0.848]	[0.12276, 0.25548]	[0.684, 0.833]	[0.404, 0.697]	[0.3953, 0.9016]	[0.400, 0.708]	[0.402, 0.698]	[0.750, 0.895]	[0.650, 0.875]	[0.668, 0.892]	[0.689, 0.899]	[0.722, 0.889]	[0.682, 0.909]
roc_auc	[0.641, 0.858]	[0.679, 0.826]	[0.14058, 0.25107]	[0.667, 0.811]	[0.359, 0.652]	[0.4467, 1.0423]	[0.356, 0.650]	[0.357, 0.649]	[0.737, 0.857]	[0.619, 0.824]	[0.622, 0.854]	[0.677, 0.869]	[0.722, 0.833]	[0.636, 0.864]
