	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.758 ± 0.040052	0.709 ± 0.038703	0.22303 ± 0.026329	0.676 ± 0.048208	0.418 ± 0.077406	0.9324 ± 0.398213	0.424 ± 0.074456	0.421 ± 0.075710	0.738 ± 0.043226	0.687 ± 0.046244	0.750 ± 0.041883	0.748 ± 0.048920	0.672 ± 0.080508	0.745 ± 0.064993
precision_recall_auc	0.788 ± 0.042936	0.726 ± 0.037739	0.21102 ± 0.027816	0.687 ± 0.051356	0.451 ± 0.075478	0.9312 ± 0.288592	0.463 ± 0.070865	0.457 ± 0.073069	0.740 ± 0.037113	0.724 ± 0.038750	0.782 ± 0.045164	0.762 ± 0.041272	0.656 ± 0.068293	0.795 ± 0.032141
roc_auc	0.786 ± 0.042783	0.716 ± 0.055508	0.21230 ± 0.037983	0.678 ± 0.064500	0.432 ± 0.111015	0.8892 ± 0.316627	0.442 ± 0.112937	0.437 ± 0.111917	0.733 ± 0.049833	0.709 ± 0.065915	0.779 ± 0.043785	0.771 ± 0.056994	0.650 ± 0.069537	0.782 ± 0.051604
