	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.785 ± 0.077093	0.751 ± 0.064676	0.18587 ± 0.027460	0.722 ± 0.067617	0.501 ± 0.129352	0.6329 ± 0.090450	0.511 ± 0.130801	0.506 ± 0.129851	0.768 ± 0.058328	0.743 ± 0.079952	0.774 ± 0.087777	0.802 ± 0.051512	0.706 ± 0.074305	0.795 ± 0.083677
precision_recall_auc	0.796 ± 0.050741	0.788 ± 0.041460	0.18137 ± 0.017910	0.766 ± 0.046500	0.576 ± 0.082920	0.6166 ± 0.059832	0.580 ± 0.081967	0.578 ± 0.082253	0.810 ± 0.041804	0.769 ± 0.052886	0.787 ± 0.054423	0.819 ± 0.036599	0.767 ± 0.063072	0.809 ± 0.055876
roc_auc	0.801 ± 0.050151	0.784 ± 0.043597	0.17964 ± 0.018483	0.760 ± 0.049184	0.568 ± 0.087193	0.6023 ± 0.050611	0.575 ± 0.086948	0.571 ± 0.086867	0.801 ± 0.044864	0.773 ± 0.053550	0.792 ± 0.053312	0.816 ± 0.040007	0.750 ± 0.065473	0.818 ± 0.052486
