	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.934 ± 0.012732	0.862 ± 0.028241	0.08834 ± 0.013263	0.839 ± 0.036408	0.723 ± 0.056481	0.3010 ± 0.030693	0.810 ± 0.045763	0.765 ± 0.050849	0.818 ± 0.028592	0.992 ± 0.024325	0.933 ± 0.013049	0.905 ± 0.013534	0.728 ± 0.048644	0.995 ± 0.014374
precision_recall_auc	0.928 ± 0.007331	0.763 ± 0.078448	0.10313 ± 0.010016	0.685 ± 0.133466	0.526 ± 0.156897	0.3348 ± 0.022596	0.689 ± 0.112932	0.600 ± 0.136355	0.730 ± 0.064806	0.960 ± 0.069326	0.926 ± 0.007461	0.911 ± 0.015768	0.544 ± 0.147684	0.982 ± 0.031782
roc_auc	0.919 ± 0.016385	0.764 ± 0.070820	0.11276 ± 0.012221	0.681 ± 0.120880	0.528 ± 0.141639	0.3597 ± 0.036474	0.726 ± 0.062544	0.617 ± 0.109976	0.726 ± 0.062544	1.000 ± 0.000000	0.917 ± 0.016775	0.909 ± 0.023402	0.528 ± 0.141639	1.000 ± 0.000000
