	time	scoring	best_params	best_score
0	III14	mcc	{'svc__C': 10.0, 'svc__gamma': 0.01}	0.6308772926820347
1	III14	precision_recall_auc	{'svc__C': 1000.0, 'svc__gamma': 1e-05}	0.8793191170858755
2	III14	roc_auc	{'svc__C': 1.0, 'svc__gamma': 0.1}	0.8722222222222221
3	C-1	mcc	{'svc__C': 1.0, 'svc__gamma': 0.1}	0.7321771352974628
4	C-1	precision_recall_auc	{'svc__C': 10.0, 'svc__gamma': 0.01}	0.9139212402512754
5	C-1	roc_auc	{'svc__C': 10000.0, 'svc__gamma': 1e-05}	0.8984848484848484
