	importance
PF3D7_1008100.s4_830	1.9984014443252818e-16
PF3D7_0402400.2o2_48	1.9984014443252818e-16
PF3D7_0703500.e2s3_4496	2.020605904817785e-16
PF3D7_0412400.iso1.exon1.amp1_3330	2.020605904817785e-16
PF3D7_1348400.iso1.exon2.amp1_1215.1	2.020605904817785e-16
PF3D7_1001800.2o2_1977	2.020605904817785e-16
PF3D7_1370300.1o2_3612	2.020605904817785e-16
PF3D7_1347300.iso1.exon2.amp1_2070	2.020605904817785e-16
PF3D7_1202300.e10s1_885	2.042810365310288e-16
PF3D7_0223300 (renamed)_2205	2.042810365310288e-16
PF3D7_1349700.2o2_3937	2.042810365310288e-16
PF3D7_1233400.1o4_737	2.042810365310288e-16
PF3D7_1400800.iso1.exon1.amp1_3878	2.042810365310288e-16
PF3D7_0200600.iso1.exon1.amp1_2442	2.042810365310288e-16
PF3D7_1300200.iso1.exon1.amp1_3602	2.042810365310288e-16
PF3D7_1419400.e1s2_1898	2.042810365310288e-16
PF3D7_1202300.e33s1_584	2.042810365310288e-16
PF3D7_1300100.iso1.exon1.amp1_499	2.042810365310288e-16
PF3D7_0600400.iso1.exon1.amp1_3033	2.042810365310288e-16
PF3D7_1450400.iso1.exon1.amp2_1326	2.0650148258027913e-16
PF13_0197_176	2.0650148258027913e-16
PF3D7_1147800.1.e2s2_1154	2.0650148258027913e-16
PF3D7_0935600.1o2_3662	2.0650148258027913e-16
PF3D7_1474600.4o5_1047	2.0650148258027913e-16
PF3D7_0726400.e4s1_619	2.0650148258027913e-16
PF3D7_1478100.2o2_4908	2.0650148258027913e-16
PF3D7_0711700.e2s1_898	2.0650148258027913e-16
PF3D7_0832300.2o2_3619	2.0650148258027913e-16
PF3D7_1415500.iso1.exon2.amp1_2259	2.0650148258027913e-16
PF3D7_0420000.s4_190	2.0872192862952942e-16
PF3D7_0207000.2o2_2000	2.0872192862952942e-16
PF3D7_1149800.iso1.exon2.amp1_981	2.0872192862952942e-16
PF3D7_1150300.iso1.exon1.amp1_2740	2.0872192862952942e-16
PF3D7_1123000.iso1.exon1.amp1_3137	2.0872192862952942e-16
PF3D7_1036400.1o2_1668	2.0872192862952942e-16
PF3D7_1365700.1o3_3008	2.0872192862952942e-16
PF3D7_1464500.iso1.exon1.amp2_1073	2.1094237467877973e-16
PF3D7_0911300.e1s2_3750	2.1094237467877973e-16
PF3D7_0718700.1o1_1050	2.1094237467877973e-16
PF3D7_1200100.iso1.exon1.amp1_505	2.1094237467877973e-16
PF3D7_1202300.e29s1_1852	2.1094237467877973e-16
PFC0210c_2763	2.1094237467877973e-16
PF3D7_1373400.iso1.exon2.amp1_2732	2.1316282072803005e-16
PF3D7_0827700.1o1_786	2.1316282072803005e-16
PF3D7_0911300.e1s1_3426	2.1316282072803005e-16
PF3D7_0936600.2o2_2012	2.1316282072803005e-16
PF3D7_0719900.iso1.exon1.amp2_527	2.1316282072803005e-16
PF3D7_0101900.iso1.exon1.amp1_123	2.1316282072803005e-16
PF3D7_1411100.iso1.exon2.amp1_4379	2.1538326677728036e-16
PF3D7_1102800.iso1.exon1.amp1_671	2.1538326677728036e-16
PF3D7_0400400.iso1.exon1.amp1_1294	2.1538326677728036e-16
PF3D7_1206900.4o4_2705	2.1538326677728036e-16
PF3D7_1202300.e34s1_2180	2.1538326677728036e-16
PF3D7_1208200.e3s3_4840	2.1538326677728036e-16
PF3D7_1240900.iso1.exon3.amp1_1880	2.1760371282653068e-16
PF3D7_0101000.iso1.exon1.amp1_2157	2.1760371282653068e-16
PF3D7_1301600.iso1.exon4.amp2_1680	2.1760371282653068e-16
PF3D7_1101200.iso1.exon1.amp1_3319	2.1760371282653068e-16
PF3D7_0921200.2o6_4038	2.1760371282653068e-16
Dose	2.1760371282653068e-16
PF3D7_1351300.2o2_1038	2.1760371282653068e-16
PF3D7_0500100.iso1.exon2.amp1_1299	2.1760371282653068e-16
PF3D7_1358500.1o1_755	2.1760371282653068e-16
PF3D7_0703900.iso1.exon1.amp4_2544	2.1760371282653068e-16
PF3D7_1433100.iso1.exon2.amp1_450	2.1760371282653068e-16
PF3D7_0422100 (renamed)_2667	2.1760371282653068e-16
PF3D7_1468100.e2s2_1156	2.19824158875781e-16
PF3D7_0600300.iso1.exon1.amp1_1286	2.19824158875781e-16
PF3D7_1475400.e2s2_1145	2.220446049250313e-16
PF3D7_1025400.12o13_376	2.220446049250313e-16
PF3D7_1201200.2o2_45	2.220446049250313e-16
PF3D7_0324900.iso1.exon1.amp1_2456	2.220446049250313e-16
PF3D7_0611000.2o3_1027	2.220446049250313e-16
PF3D7_1149200.e2s1_2474	2.220446049250313e-16
PF3D7_0800200.e2s1_1226	2.220446049250313e-16
