	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.758 ± 0.033591	0.715 ± 0.050716	0.19779 ± 0.018284	0.661 ± 0.068086	0.431 ± 0.101432	0.6119 ± 0.052549	0.467 ± 0.102725	0.448 ± 0.101627	0.717 ± 0.042604	0.750 ± 0.066346	0.748 ± 0.036029	0.765 ± 0.036175	0.594 ± 0.078785	0.836 ± 0.053354
precision_recall_auc	0.768 ± 0.057176	0.666 ± 0.067530	0.19384 ± 0.013722	0.534 ± 0.110177	0.332 ± 0.135059	0.5945 ± 0.028561	0.492 ± 0.158422	0.403 ± 0.141417	0.657 ± 0.049666	0.836 ± 0.122725	0.755 ± 0.066294	0.786 ± 0.029922	0.400 ± 0.110492	0.932 ± 0.061546
roc_auc	0.737 ± 0.080624	0.678 ± 0.048708	0.20246 ± 0.023984	0.574 ± 0.090736	0.357 ± 0.097416	0.6196 ± 0.071411	0.463 ± 0.091674	0.405 ± 0.090548	0.673 ± 0.042648	0.790 ± 0.072350	0.720 ± 0.091241	0.772 ± 0.049338	0.461 ± 0.111265	0.895 ± 0.052705
