	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.884, 0.935]	[0.816, 0.871]	[0.09553, 0.12154]	[0.788, 0.857]	[0.631, 0.742]	[0.3289, 0.3984]	[0.667, 0.752]	[0.649, 0.747]	[0.800, 0.870]	[0.833, 0.882]	[0.882, 0.934]	[0.861, 0.922]	[0.722, 0.833]	[0.864, 0.909]
precision_recall_auc	[0.891, 0.924]	[0.699, 0.889]	[0.10377, 0.13322]	[0.593, 0.875]	[0.399, 0.778]	[0.3337, 0.4253]	[0.548, 0.846]	[0.475, 0.811]	[0.677, 0.846]	[0.833, 1.000]	[0.888, 0.923]	[0.869, 0.917]	[0.444, 0.778]	[0.909, 1.000]
roc_auc	[0.889, 0.931]	[0.667, 0.866]	[0.11286, 0.12709]	[0.500, 0.848]	[0.333, 0.732]	[0.3545, 0.4097]	[0.566, 0.786]	[0.464, 0.753]	[0.647, 0.840]	[0.824, 1.000]	[0.886, 0.930]	[0.884, 0.919]	[0.333, 0.778]	[0.864, 1.000]
