	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.904 ± 0.042223	0.838 ± 0.035514	0.13288 ± 0.016605	0.818 ± 0.039123	0.677 ± 0.071027	0.4825 ± 0.098805	0.703 ± 0.080454	0.690 ± 0.075179	0.829 ± 0.026945	0.873 ± 0.065089	0.900 ± 0.045157	0.895 ± 0.033695	0.772 ± 0.040992	0.905 ± 0.058486
precision_recall_auc	0.919 ± 0.020066	0.841 ± 0.025637	0.12962 ± 0.009097	0.820 ± 0.029973	0.683 ± 0.051274	0.4568 ± 0.036104	0.720 ± 0.063327	0.701 ± 0.056653	0.823 ± 0.018946	0.897 ± 0.051553	0.919 ± 0.019678	0.902 ± 0.021699	0.756 ± 0.028689	0.927 ± 0.038331
roc_auc	0.910 ± 0.020356	0.824 ± 0.043839	0.13542 ± 0.010251	0.802 ± 0.050719	0.648 ± 0.087678	0.4772 ± 0.041728	0.665 ± 0.092169	0.657 ± 0.089720	0.822 ± 0.036287	0.843 ± 0.060919	0.910 ± 0.019302	0.892 ± 0.022494	0.767 ± 0.051052	0.882 ± 0.048862
