	time	scoring	top_params	ncv_mcc	test_mcc	ncv_precision_recall_auc	test_precision_recall_auc	ncv_roc_auc	test_roc_auc	mean_ncv_mcc	mean_test_mcc	mean_ncv_precision_recall_auc	mean_test_precision_recall_auc	mean_ncv_roc_auc	mean_test_roc_auc
0	III14	mcc	{'frequency': 14, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}}	"[0.5959596  0.74715612 0.74715612 0.69751845 0.64550223 0.64874912
 0.6969697  0.74715612 0.69751845 0.74715612]"	"[0.77459667 0.25819889 0.5        0.77459667 0.77459667 0.77459667
 0.77459667 1.         0.46666667 0.77459667 1.         0.77459667
 0.5        1.         0.46666667 0.57735027 1.         0.77459667
 0.6        0.74535599 0.77459667 0.5        0.77459667 0.6
 0.74535599 0.77459667 0.5        0.37796447 1.         0.77459667
 0.5        0.25819889 1.         1.         0.74535599 1.
 1.         0.77459667 0.1490712  0.74535599 0.77459667 0.77459667
 1.         0.46666667 0.46666667 0.5        0.77459667 1.
 0.77459667 0.74535599]"	"[0.92027329 0.90362884 0.90320341 0.86528356 0.90910522 0.92496618
 0.90943229 0.90861436 0.92033014 0.86597376]"	"[1.         0.79583333 0.87083333 1.         1.         0.94375
 1.         1.         0.67777778 1.         1.         0.88392857
 0.94375    1.         0.90277778 0.86607143 1.         0.90833333
 1.         1.         0.88392857 0.94375    1.         1.
 0.90277778 0.88392857 0.90833333 1.         1.         1.
 0.90833333 0.88392857 1.         1.         0.85       1.
 1.         0.94375    0.58234127 1.         1.         0.86607143
 1.         0.85       0.90277778 0.94375    0.86607143 1.
 0.90277778 0.90277778]"	"[0.9040404  0.89141414 0.89141414 0.87373737 0.9040404  0.91161616
 0.90909091 0.90151515 0.90656566 0.86616162]"	"[1.         0.75       0.875      1.         1.         0.9375
 1.         1.         0.73333333 1.         1.         0.8125
 0.9375     1.         0.93333333 0.75       1.         0.875
 1.         1.         0.8125     0.9375     1.         1.
 0.93333333 0.8125     0.875      1.         1.         1.
 0.875      0.8125     1.         1.         0.86666667 1.
 1.         0.9375     0.53333333 1.         1.         0.75
 1.         0.86666667 0.93333333 0.9375     0.75       1.
 0.93333333 0.93333333]"	0.6970842022115339	0.7116474745292939	0.9030811060154649	0.9343670634920634	0.8959595959595958	0.9220833333333331
1	III14	precision_recall_auc	{'frequency': 13, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}}	"[0.64550223 0.69751845 0.69751845 0.69751845 0.69751845 0.70588915
 0.69751845 0.81124574 0.5959596  0.69751845]"	"[0.77459667 0.25819889 0.5        0.77459667 1.         0.57735027
 0.77459667 1.         0.46666667 0.77459667 1.         0.77459667
 0.5        0.74535599 0.46666667 0.57735027 1.         0.77459667
 0.6        0.74535599 0.77459667 0.77459667 0.77459667 0.6
 0.74535599 0.77459667 0.77459667 0.37796447 1.         0.77459667
 0.5        0.5        1.         1.         0.48795004 1.
 1.         0.77459667 0.48795004 0.74535599 0.77459667 0.25819889
 1.         0.46666667 0.46666667 0.77459667 0.77459667 1.
 0.25819889 0.74535599]"	"[0.8645017  0.91228587 0.90709304 0.84994838 0.93211724 0.90385368
 0.88915402 0.93410304 0.89892907 0.88803322]"	"[1.         0.75357143 0.94375    1.         1.         0.86607143
 1.         1.         0.90277778 1.         1.         0.88392857
 0.94375    0.90277778 0.90277778 0.77142857 1.         0.94375
 0.90277778 1.         0.88392857 0.94375    1.         1.
 1.         0.88392857 0.90833333 0.94375    1.         1.
 0.94375    0.88392857 1.         1.         0.81666667 1.
 1.         0.94375    0.53234127 1.         1.         0.79315476
 1.         0.90277778 0.90277778 0.94375    0.86607143 1.
 0.85       0.90277778]"	"[0.86616162 0.90656566 0.8989899  0.8510101  0.93181818 0.88888889
 0.88131313 0.92676768 0.88131313 0.88131313]"	"[1.         0.625      0.9375     1.         1.         0.75
 1.         1.         0.93333333 1.         1.         0.8125
 0.9375     0.93333333 0.93333333 0.6875     1.         0.9375
 0.93333333 1.         0.8125     0.9375     1.         1.
 1.         0.8125     0.875      0.9375     1.         1.
 0.9375     0.8125     1.         1.         0.8        1.
 1.         0.9375     0.4        1.         1.         0.6875
 1.         0.93333333 0.93333333 0.9375     0.75       1.
 0.86666667 0.93333333]"	0.6943707415274896	0.709403101812171	0.8980019278196762	0.9312559523809525	0.8914141414141413	0.9145
2	III14	roc_auc	{'frequency': 13, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 1.0, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}}	"[0.6969697  0.6969697  0.69751845 0.69751845 0.64550223 0.64874912
 0.59494221 0.81124574 0.69751845 0.6969697 ]"	"[0.77459667 0.77459667 0.5        0.77459667 0.77459667 0.77459667
 0.5        1.         0.46666667 0.77459667 1.         0.77459667
 0.5        0.74535599 0.46666667 0.57735027 1.         0.77459667
 0.6        0.74535599 0.77459667 0.77459667 0.77459667 0.6
 0.46666667 0.77459667 0.5        0.37796447 1.         0.77459667
 0.5        0.25819889 0.77459667 1.         0.48795004 1.
 1.         0.77459667 0.48795004 0.74535599 1.         0.57735027
 1.         0.46666667 0.46666667 0.5        0.77459667 1.
 0.6        0.74535599]"	"[0.88978596 0.89453453 0.90709304 0.85267585 0.89048063 0.84851059
 0.89348534 0.93381227 0.90370138 0.919474  ]"	"[0.94375    0.88392857 0.87083333 1.         1.         0.94375
 0.88392857 1.         0.90277778 1.         1.         0.88392857
 0.94375    0.90277778 0.90277778 0.77142857 1.         0.94375
 0.90277778 1.         0.88392857 1.         1.         1.
 0.90277778 0.88392857 0.90833333 0.83541667 1.         1.
 0.94375    0.88392857 1.         1.         0.81666667 1.
 1.         0.94375    0.53234127 1.         1.         0.75357143
 1.         0.90277778 0.90277778 0.94375    0.86607143 1.
 0.90277778 0.90277778]"	"[0.89141414 0.87878788 0.8989899  0.8459596  0.9040404  0.84343434
 0.88131313 0.92171717 0.88636364 0.90656566]"	"[0.9375     0.8125     0.875      1.         1.         0.9375
 0.8125     1.         0.93333333 1.         1.         0.8125
 0.9375     0.93333333 0.93333333 0.6875     1.         0.9375
 0.93333333 1.         0.8125     1.         1.         1.
 0.93333333 0.8125     0.875      0.8125     1.         1.
 0.9375     0.8125     1.         1.         0.8        1.
 1.         0.9375     0.4        1.         1.         0.625
 1.         0.93333333 0.93333333 0.9375     0.75       1.
 0.93333333 0.93333333]"	0.6883903735724646	0.7055013597056192	0.8933553599762302	0.9277896825396826	0.8858585858585858	0.9132499999999999
3	C-1	mcc	{'frequency': 14, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}}	"[0.69751845 0.75254898 0.75254898 0.70588915 0.70588915 0.76712278
 0.69751845 0.75254898 0.75254898 0.75254898]"	"[0.77459667 0.25819889 1.         0.74535599 0.77459667 0.77459667
 0.77459667 1.         0.48795004 0.77459667 1.         0.77459667
 0.57735027 0.77459667 0.74535599 0.57735027 0.77459667 0.77459667
 0.77459667 0.74535599 0.77459667 0.25819889 0.77459667 1.
 0.74535599 0.77459667 0.77459667 0.37796447 1.         1.
 0.77459667 0.25819889 0.77459667 1.         0.74535599 1.
 0.77459667 0.77459667 0.48795004 0.74535599 1.         0.25819889
 1.         0.74535599 0.74535599 0.77459667 0.57735027 1.
 1.         0.46666667]"	"[0.871025   0.90328806 0.92246751 0.91567628 0.92836237 0.93762363
 0.9258846  0.94234748 0.92778118 0.90613633]"	"[1.         0.70684524 1.         0.90277778 1.         0.90833333
 1.         1.         0.77678571 1.         1.         0.90833333
 0.90833333 0.90277778 0.90277778 0.86607143 0.86607143 1.
 1.         1.         0.86607143 0.79583333 1.         1.
 1.         0.88392857 0.90833333 0.94375    1.         1.
 0.94375    0.90833333 1.         1.         0.85       1.
 0.94375    0.94375    0.77678571 1.         1.         0.74642857
 1.         1.         1.         0.94375    0.8110119  1.
 1.         0.90277778]"	"[0.88888889 0.87626263 0.90151515 0.88383838 0.90656566 0.91414141
 0.91666667 0.92171717 0.88636364 0.86363636]"	"[1.         0.6875     1.         0.93333333 1.         0.875
 1.         1.         0.66666667 1.         1.         0.875
 0.875      0.93333333 0.93333333 0.75       0.75       1.
 1.         1.         0.75       0.75       1.         1.
 1.         0.8125     0.875      0.9375     1.         1.
 0.9375     0.875      1.         1.         0.86666667 1.
 0.9375     0.9375     0.66666667 1.         1.         0.625
 1.         1.         1.         0.9375     0.75       1.
 1.         0.93333333]"	0.7336682887659098	0.7453112446953916	0.9180592431933212	0.9363472222222222	0.8959595959595961	0.9174166666666665
4	C-1	precision_recall_auc	{'frequency': 13, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}}	"[0.75254898 0.69751845 0.75254898 0.64874912 0.70588915 0.70588915
 0.81124574 0.70588915 0.64874912 0.59494221]"	"[0.77459667 0.5        0.77459667 0.74535599 1.         0.25819889
 0.77459667 1.         0.74535599 0.77459667 1.         0.77459667
 0.57735027 0.46666667 1.         0.57735027 0.77459667 0.77459667
 0.6        0.74535599 0.77459667 0.25819889 0.77459667 1.
 0.74535599 0.77459667 0.77459667 0.37796447 1.         0.77459667
 0.77459667 0.77459667 0.77459667 1.         0.74535599 1.
 0.77459667 0.5        0.48795004 0.74535599 0.77459667 0.25819889
 1.         0.74535599 0.46666667 0.77459667 0.57735027 1.
 0.06666667 0.74535599]"	"[0.91701248 0.93620776 0.92439743 0.89635608 0.92416295 0.92055445
 0.90379844 0.92578971 0.86876463 0.86224649]"	"[1.         0.6889881  0.94375    0.90277778 1.         0.8110119
 1.         1.         0.90277778 1.         1.         0.90833333
 0.94375    0.90277778 1.         0.75357143 1.         0.94375
 1.         1.         0.86607143 0.79315476 1.         1.
 1.         0.88392857 0.94375    1.         1.         1.
 0.90833333 0.90833333 1.         1.         0.81666667 1.
 0.94375    0.94375    0.77678571 1.         1.         0.60714286
 1.         0.90277778 0.90277778 1.         0.77142857 1.
 0.81666667 0.90277778]"	"[0.8989899  0.92424242 0.90656566 0.86616162 0.9040404  0.9040404
 0.88636364 0.91919192 0.83838384 0.83585859]"	"[1.         0.625      0.9375     0.93333333 1.         0.75
 1.         1.         0.93333333 1.         1.         0.875
 0.9375     0.93333333 1.         0.625      1.         0.9375
 1.         1.         0.75       0.6875     1.         1.
 1.         0.8125     0.9375     1.         1.         1.
 0.875      0.875      1.         1.         0.8        1.
 0.9375     0.9375     0.66666667 1.         1.         0.4375
 1.         0.93333333 0.93333333 1.         0.6875     1.
 0.8        0.93333333]"	0.7023970062014507	0.7175629994528001	0.9079290411202917	0.9277916666666667	0.8883838383838384	0.9098333333333334
5	C-1	roc_auc	{'frequency': 13, 'parameters': {'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 1.0, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}}	"[0.69751845 0.64550223 0.75254898 0.69751845 0.59494221 0.64874912
 0.69751845 0.70588915 0.69751845 0.69751845]"	"[0.77459667 0.5        0.77459667 0.74535599 0.77459667 0.77459667
 0.5        1.         0.1490712  0.77459667 1.         0.77459667
 0.57735027 0.46666667 1.         0.57735027 0.77459667 0.77459667
 0.6        1.         0.77459667 0.57735027 0.77459667 0.6
 0.46666667 0.77459667 0.5        0.37796447 1.         0.77459667
 0.77459667 0.25819889 0.77459667 1.         0.74535599 1.
 0.77459667 0.5        0.48795004 0.74535599 1.         0.25819889
 1.         0.74535599 0.46666667 0.77459667 0.57735027 1.
 0.6        0.74535599]"	"[0.92286154 0.91860601 0.92439743 0.90478704 0.92482179 0.87372319
 0.91566602 0.93669011 0.85474172 0.91582044]"	"[1.         0.86607143 0.94375    0.85       1.         0.90833333
 0.86607143 1.         0.76388889 1.         1.         0.90833333
 0.94375    0.90277778 1.         0.75357143 1.         0.94375
 1.         1.         0.86607143 0.8110119  1.         1.
 0.90277778 0.88392857 0.94375    0.62440476 1.         1.
 0.90833333 0.90833333 1.         1.         0.81666667 1.
 0.94375    0.94375    0.77678571 1.         1.         0.41964286
 1.         0.90277778 0.90277778 0.94375    0.77142857 1.
 1.         0.90277778]"	"[0.90151515 0.88383838 0.90656566 0.87121212 0.91666667 0.82828283
 0.8989899  0.93434343 0.83585859 0.87626263]"	"[1.         0.75       0.9375     0.86666667 1.         0.875
 0.75       1.         0.86666667 1.         1.         0.875
 0.9375     0.93333333 1.         0.625      1.         0.9375
 1.         1.         0.75       0.75       1.         1.
 0.93333333 0.8125     0.9375     0.5        1.         1.
 0.875      0.875      1.         1.         0.8        1.
 0.9375     0.9375     0.66666667 1.         1.         0.375
 1.         0.93333333 0.93333333 0.9375     0.6875     1.
 1.         0.93333333]"	0.6835223931730627	0.7032222246919937	0.9092115276862218	0.9164603174603174	0.8853535353535353	0.8985833333333333
