	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.818 ± 0.059458	0.742 ± 0.051502	0.16886 ± 0.019208	0.725 ± 0.054436	0.484 ± 0.103005	0.5212 ± 0.060283	0.484 ± 0.105754	0.484 ± 0.104359	0.789 ± 0.056429	0.695 ± 0.063615	0.809 ± 0.067229	0.840 ± 0.042868	0.761 ± 0.074305	0.723 ± 0.072506
precision_recall_auc	0.794 ± 0.045137	0.761 ± 0.046086	0.16468 ± 0.015596	0.742 ± 0.049086	0.521 ± 0.092172	0.5288 ± 0.055163	0.519 ± 0.091711	0.520 ± 0.091923	0.799 ± 0.045132	0.720 ± 0.051979	0.780 ± 0.052198	0.839 ± 0.023802	0.767 ± 0.057378	0.755 ± 0.053354
roc_auc	0.798 ± 0.048243	0.743 ± 0.035594	0.16968 ± 0.020893	0.724 ± 0.036146	0.486 ± 0.071188	0.5487 ± 0.082852	0.487 ± 0.074632	0.487 ± 0.072823	0.784 ± 0.035005	0.704 ± 0.055856	0.786 ± 0.054264	0.838 ± 0.036634	0.750 ± 0.053990	0.736 ± 0.070418
