	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.916 ± 0.012732	0.862 ± 0.015891	0.11364 ± 0.008347	0.848 ± 0.016322	0.724 ± 0.031782	0.3931 ± 0.025983	0.730 ± 0.037262	0.727 ± 0.034514	0.867 ± 0.004290	0.863 ± 0.032977	0.914 ± 0.013213	0.901 ± 0.013803	0.833 ± 0.000000	0.891 ± 0.031782
precision_recall_auc	0.910 ± 0.017065	0.825 ± 0.054187	0.12030 ± 0.013137	0.798 ± 0.071768	0.650 ± 0.108375	0.3959 ± 0.039580	0.678 ± 0.092123	0.664 ± 0.100011	0.819 ± 0.058932	0.860 ± 0.048010	0.908 ± 0.017581	0.905 ± 0.018852	0.750 ± 0.102272	0.900 ± 0.035855
roc_auc	0.907 ± 0.019546	0.813 ± 0.051277	0.12277 ± 0.013300	0.781 ± 0.069157	0.626 ± 0.102554	0.4021 ± 0.046910	0.668 ± 0.080580	0.646 ± 0.090945	0.801 ± 0.059645	0.866 ± 0.041067	0.905 ± 0.020228	0.905 ± 0.020885	0.717 ± 0.106219	0.909 ± 0.030303
