	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.898 ± 0.028248	0.811 ± 0.028246	0.12611 ± 0.011835	0.789 ± 0.030650	0.621 ± 0.056491	0.3932 ± 0.041145	0.631 ± 0.063529	0.626 ± 0.059917	0.817 ± 0.019249	0.813 ± 0.047303	0.898 ± 0.026104	0.898 ± 0.029244	0.767 ± 0.023424	0.855 ± 0.041770
precision_recall_auc	0.905 ± 0.020015	0.812 ± 0.019962	0.12632 ± 0.008365	0.791 ± 0.021429	0.623 ± 0.039924	0.3948 ± 0.025304	0.630 ± 0.044861	0.626 ± 0.042291	0.823 ± 0.016867	0.806 ± 0.037610	0.903 ± 0.021754	0.898 ± 0.018974	0.778 ± 0.026189	0.845 ± 0.038331
roc_auc	0.907 ± 0.011180	0.809 ± 0.026758	0.12589 ± 0.007578	0.789 ± 0.029336	0.619 ± 0.053516	0.3940 ± 0.022555	0.624 ± 0.054788	0.621 ± 0.054047	0.823 ± 0.025732	0.801 ± 0.038094	0.905 ± 0.011163	0.901 ± 0.016062	0.778 ± 0.037037	0.841 ± 0.038629
