	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.934 ± 0.016434	0.859 ± 0.036318	0.10503 ± 0.012150	0.842 ± 0.042534	0.718 ± 0.072637	0.3369 ± 0.040436	0.739 ± 0.074002	0.728 ± 0.073095	0.849 ± 0.032644	0.890 ± 0.046891	0.934 ± 0.016366	0.931 ± 0.019410	0.800 ± 0.046849	0.918 ± 0.035855
precision_recall_auc	0.935 ± 0.014234	0.842 ± 0.040583	0.10656 ± 0.010421	0.823 ± 0.047385	0.684 ± 0.081167	0.3388 ± 0.029251	0.700 ± 0.082240	0.692 ± 0.081603	0.839 ± 0.036495	0.861 ± 0.049485	0.934 ± 0.014277	0.933 ± 0.014278	0.789 ± 0.051052	0.895 ± 0.037421
roc_auc	0.935 ± 0.011489	0.845 ± 0.034608	0.10561 ± 0.009472	0.827 ± 0.038767	0.690 ± 0.069216	0.3351 ± 0.026075	0.706 ± 0.077622	0.698 ± 0.073081	0.842 ± 0.027693	0.864 ± 0.058205	0.934 ± 0.011866	0.933 ± 0.011202	0.794 ± 0.037497	0.895 ± 0.048152
