	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.869 ± 0.048724	0.836 ± 0.024147	0.12665 ± 0.012809	0.819 ± 0.026476	0.671 ± 0.048293	0.4083 ± 0.032967	0.672 ± 0.049678	0.672 ± 0.048942	0.851 ± 0.020962	0.822 ± 0.032069	0.864 ± 0.052523	0.900 ± 0.025129	0.817 ± 0.026836	0.855 ± 0.028748
precision_recall_auc	0.870 ± 0.045662	0.849 ± 0.026753	0.13033 ± 0.014404	0.833 ± 0.029496	0.698 ± 0.053505	0.4163 ± 0.037130	0.706 ± 0.058858	0.702 ± 0.056034	0.855 ± 0.020500	0.851 ± 0.043955	0.864 ± 0.049713	0.892 ± 0.028476	0.817 ± 0.026836	0.882 ± 0.038331
roc_auc	0.868 ± 0.031585	0.851 ± 0.030162	0.12831 ± 0.013259	0.835 ± 0.033434	0.702 ± 0.060325	0.4123 ± 0.034153	0.712 ± 0.064946	0.707 ± 0.062540	0.852 ± 0.022934	0.860 ± 0.045168	0.860 ± 0.034673	0.895 ± 0.025669	0.811 ± 0.028689	0.891 ± 0.038331
