	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.863 ± 0.039324	0.840 ± 0.034996	0.12995 ± 0.010774	0.823 ± 0.039222	0.679 ± 0.069992	0.4151 ± 0.029619	0.685 ± 0.074466	0.682 ± 0.072115	0.849 ± 0.028946	0.836 ± 0.052001	0.856 ± 0.043593	0.894 ± 0.025698	0.811 ± 0.038845	0.868 ± 0.045201
precision_recall_auc	0.869 ± 0.038892	0.852 ± 0.025470	0.12784 ± 0.012080	0.835 ± 0.028061	0.703 ± 0.050941	0.4106 ± 0.029595	0.711 ± 0.053514	0.707 ± 0.052138	0.855 ± 0.020737	0.855 ± 0.036562	0.863 ± 0.041773	0.896 ± 0.026493	0.817 ± 0.026836	0.886 ± 0.032141
roc_auc	0.867 ± 0.041628	0.835 ± 0.028297	0.13103 ± 0.010800	0.818 ± 0.030803	0.670 ± 0.056594	0.4188 ± 0.027366	0.675 ± 0.063434	0.672 ± 0.059858	0.848 ± 0.021348	0.827 ± 0.049787	0.860 ± 0.049538	0.893 ± 0.022304	0.811 ± 0.028689	0.859 ± 0.045201
