	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.865 ± 0.049782	0.790 ± 0.032683	0.14698 ± 0.018552	0.755 ± 0.043239	0.580 ± 0.065367	0.5196 ± 0.101315	0.620 ± 0.067036	0.600 ± 0.064810	0.779 ± 0.034628	0.841 ± 0.052672	0.860 ± 0.053818	0.851 ± 0.041831	0.689 ± 0.065210	0.891 ± 0.043913
precision_recall_auc	0.897 ± 0.025995	0.734 ± 0.075065	0.13680 ± 0.020502	0.639 ± 0.126963	0.467 ± 0.150129	0.4467 ± 0.072538	0.645 ± 0.130438	0.546 ± 0.138503	0.705 ± 0.059954	0.939 ± 0.092056	0.894 ± 0.026769	0.882 ± 0.030049	0.494 ± 0.134690	0.973 ± 0.043913
roc_auc	0.897 ± 0.028323	0.753 ± 0.068233	0.13327 ± 0.023452	0.679 ± 0.112852	0.506 ± 0.136466	0.4332 ± 0.083979	0.628 ± 0.096593	0.562 ± 0.116458	0.728 ± 0.061780	0.901 ± 0.055730	0.894 ± 0.029094	0.886 ± 0.035867	0.556 ± 0.136083	0.950 ± 0.025802
