	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.688 ± 0.073380	0.704 ± 0.048091	0.21195 ± 0.024936	0.656 ± 0.064751	0.408 ± 0.096182	0.7003 ± 0.105624	0.427 ± 0.092603	0.417 ± 0.093751	0.718 ± 0.046338	0.709 ± 0.056991	0.665 ± 0.083721	0.745 ± 0.047661	0.617 ± 0.088618	0.791 ± 0.057496
precision_recall_auc	0.724 ± 0.106579	0.667 ± 0.056991	0.20584 ± 0.051877	0.574 ± 0.097072	0.333 ± 0.113982	0.6781 ± 0.201027	0.398 ± 0.115231	0.363 ± 0.113179	0.671 ± 0.047822	0.727 ± 0.079649	0.707 ± 0.118349	0.757 ± 0.087073	0.483 ± 0.114306	0.850 ± 0.056894
roc_auc	0.708 ± 0.110370	0.697 ± 0.057301	0.20749 ± 0.050344	0.636 ± 0.077516	0.394 ± 0.114602	0.7145 ± 0.205854	0.432 ± 0.125090	0.413 ± 0.118878	0.702 ± 0.048491	0.731 ± 0.085724	0.690 ± 0.119251	0.755 ± 0.083698	0.567 ± 0.089963	0.827 ± 0.059844
