	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.874, 0.941]	[0.798, 0.866]	[0.10223, 0.14652]	[0.778, 0.848]	[0.596, 0.732]	[0.3451, 0.5382]	[0.596, 0.773]	[0.596, 0.753]	[0.818, 0.864]	[0.778, 0.933]	[0.871, 0.940]	[0.866, 0.924]	[0.778, 0.833]	[0.818, 0.955]
precision_recall_auc	[0.778, 0.932]	[0.821, 0.871]	[0.11640, 0.15140]	[0.800, 0.857]	[0.641, 0.742]	[0.3650, 0.8234]	[0.650, 0.752]	[0.646, 0.747]	[0.826, 0.870]	[0.824, 0.882]	[0.766, 0.930]	[0.831, 0.919]	[0.778, 0.833]	[0.864, 0.909]
roc_auc	[0.778, 0.930]	[0.798, 0.871]	[0.12317, 0.15205]	[0.778, 0.857]	[0.596, 0.742]	[0.4090, 0.8253]	[0.596, 0.752]	[0.596, 0.747]	[0.818, 0.870]	[0.778, 0.882]	[0.766, 0.929]	[0.831, 0.912]	[0.778, 0.833]	[0.818, 0.909]
