	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.944 ± 0.031760	0.887 ± 0.041375	0.10393 ± 0.017290	0.875 ± 0.048391	0.774 ± 0.082751	0.3878 ± 0.087389	0.795 ± 0.084317	0.785 ± 0.083300	0.874 ± 0.036433	0.921 ± 0.054984	0.943 ± 0.033056	0.937 ± 0.029732	0.833 ± 0.052378	0.941 ± 0.043122
precision_recall_auc	0.926 ± 0.025782	0.879 ± 0.034980	0.10934 ± 0.013688	0.866 ± 0.039530	0.757 ± 0.069960	0.4139 ± 0.067564	0.771 ± 0.076976	0.764 ± 0.073093	0.875 ± 0.030154	0.896 ± 0.057687	0.924 ± 0.027542	0.928 ± 0.014360	0.839 ± 0.040992	0.918 ± 0.046945
roc_auc	0.922 ± 0.029344	0.869 ± 0.042307	0.11301 ± 0.014361	0.856 ± 0.047244	0.739 ± 0.084613	0.4340 ± 0.095061	0.748 ± 0.092668	0.743 ± 0.088483	0.872 ± 0.032681	0.876 ± 0.066946	0.920 ± 0.030750	0.923 ± 0.029025	0.839 ± 0.040992	0.900 ± 0.055876
