	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.932 ± 0.020294	0.860 ± 0.021462	0.09477 ± 0.013100	0.839 ± 0.025814	0.721 ± 0.042924	0.3202 ± 0.032378	0.794 ± 0.055357	0.757 ± 0.048011	0.821 ± 0.016446	0.973 ± 0.047090	0.931 ± 0.020723	0.902 ± 0.026406	0.739 ± 0.026836	0.982 ± 0.031782
precision_recall_auc	0.932 ± 0.015422	0.744 ± 0.040531	0.09780 ± 0.011055	0.659 ± 0.067108	0.487 ± 0.081062	0.3203 ± 0.025579	0.669 ± 0.071153	0.570 ± 0.073716	0.709 ± 0.033551	0.959 ± 0.053337	0.931 ± 0.015689	0.916 ± 0.025125	0.506 ± 0.076129	0.982 ± 0.023473
roc_auc	0.927 ± 0.024042	0.738 ± 0.039911	0.10488 ± 0.019557	0.648 ± 0.070432	0.476 ± 0.079822	0.3370 ± 0.053189	0.666 ± 0.061533	0.562 ± 0.067023	0.705 ± 0.034948	0.961 ± 0.052042	0.926 ± 0.024666	0.916 ± 0.028895	0.494 ± 0.084660	0.982 ± 0.023473
