	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.915 ± 0.018729	0.840 ± 0.029348	0.11544 ± 0.014503	0.818 ± 0.033458	0.681 ± 0.058696	0.3708 ± 0.037844	0.728 ± 0.082021	0.704 ± 0.069357	0.817 ± 0.018385	0.911 ± 0.072380	0.913 ± 0.019102	0.896 ± 0.028170	0.744 ± 0.028689	0.936 ± 0.053354
precision_recall_auc	0.911 ± 0.015069	0.787 ± 0.067348	0.11854 ± 0.008921	0.734 ± 0.100545	0.575 ± 0.134697	0.3742 ± 0.021947	0.686 ± 0.124976	0.627 ± 0.128579	0.755 ± 0.057052	0.931 ± 0.081974	0.909 ± 0.015161	0.898 ± 0.023455	0.611 ± 0.114156	0.964 ± 0.041770
roc_auc	0.922 ± 0.016810	0.821 ± 0.051903	0.11333 ± 0.009838	0.783 ± 0.074201	0.641 ± 0.103805	0.3588 ± 0.027023	0.731 ± 0.081090	0.684 ± 0.089279	0.789 ± 0.052839	0.943 ± 0.059746	0.920 ± 0.017386	0.917 ± 0.018482	0.678 ± 0.104100	0.964 ± 0.035855
