	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.773 ± 0.085453	0.742 ± 0.045420	0.17988 ± 0.031387	0.723 ± 0.051558	0.484 ± 0.090840	0.5971 ± 0.126675	0.485 ± 0.091171	0.484 ± 0.090953	0.792 ± 0.064490	0.693 ± 0.040723	0.762 ± 0.092321	0.817 ± 0.054424	0.761 ± 0.090911	0.723 ± 0.054419
precision_recall_auc	0.832 ± 0.057181	0.763 ± 0.043185	0.16488 ± 0.021745	0.745 ± 0.046185	0.527 ± 0.086370	0.5559 ± 0.126531	0.524 ± 0.085377	0.525 ± 0.085851	0.803 ± 0.042926	0.721 ± 0.047339	0.826 ± 0.060236	0.839 ± 0.038625	0.772 ± 0.055246	0.755 ± 0.048862
roc_auc	0.830 ± 0.065877	0.753 ± 0.031225	0.16208 ± 0.019143	0.734 ± 0.036176	0.507 ± 0.062451	0.5494 ± 0.130935	0.503 ± 0.060119	0.505 ± 0.061270	0.793 ± 0.035664	0.710 ± 0.029503	0.823 ± 0.072841	0.849 ± 0.031631	0.761 ± 0.052705	0.745 ± 0.031782
