	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.845 ± 0.060668	0.761 ± 0.031411	0.15792 ± 0.017085	0.730 ± 0.036812	0.523 ± 0.062822	0.4876 ± 0.050951	0.539 ± 0.066008	0.531 ± 0.063491	0.772 ± 0.033132	0.767 ± 0.051457	0.840 ± 0.066736	0.848 ± 0.038685	0.700 ± 0.059720	0.823 ± 0.054419
precision_recall_auc	0.853 ± 0.043950	0.789 ± 0.020344	0.15538 ± 0.014273	0.765 ± 0.018423	0.577 ± 0.040687	0.5618 ± 0.281115	0.589 ± 0.057770	0.583 ± 0.048110	0.803 ± 0.016312	0.787 ± 0.061840	0.850 ± 0.044194	0.851 ± 0.034851	0.750 ± 0.039284	0.827 ± 0.063564
roc_auc	0.855 ± 0.037119	0.784 ± 0.034400	0.15730 ± 0.013375	0.760 ± 0.032399	0.567 ± 0.068799	0.4852 ± 0.041463	0.578 ± 0.079097	0.572 ± 0.073707	0.797 ± 0.019699	0.781 ± 0.067056	0.851 ± 0.039159	0.851 ± 0.032862	0.744 ± 0.028689	0.823 ± 0.072506
