	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.753 ± 0.058059	0.792 ± 0.026385	0.17607 ± 0.012762	0.764 ± 0.032804	0.583 ± 0.052769	0.5571 ± 0.040778	0.599 ± 0.048826	0.591 ± 0.050137	0.797 ± 0.032769	0.802 ± 0.034861	0.737 ± 0.067602	0.800 ± 0.027121	0.733 ± 0.057378	0.850 ± 0.037421
precision_recall_auc	0.701 ± 0.082267	0.685 ± 0.064766	0.20342 ± 0.027362	0.596 ± 0.127174	0.370 ± 0.129532	0.6195 ± 0.089530	0.433 ± 0.120958	0.399 ± 0.123855	0.687 ± 0.052744	0.746 ± 0.083064	0.685 ± 0.089039	0.744 ± 0.067142	0.511 ± 0.142965	0.859 ± 0.054419
roc_auc	0.743 ± 0.047769	0.749 ± 0.065767	0.18649 ± 0.022734	0.706 ± 0.090615	0.497 ± 0.131534	0.5847 ± 0.082999	0.521 ± 0.122660	0.509 ± 0.126803	0.755 ± 0.065146	0.766 ± 0.066933	0.729 ± 0.051315	0.784 ± 0.045967	0.661 ± 0.118432	0.836 ± 0.043913
