	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.930 ± 0.011387	0.823 ± 0.037369	0.11658 ± 0.008070	0.804 ± 0.038715	0.647 ± 0.074739	0.3940 ± 0.023765	0.659 ± 0.084586	0.653 ± 0.079459	0.829 ± 0.023302	0.830 ± 0.069133	0.928 ± 0.011749	0.914 ± 0.013010	0.783 ± 0.031536	0.864 ± 0.067760
precision_recall_auc	0.936 ± 0.008012	0.834 ± 0.021957	0.11052 ± 0.004490	0.815 ± 0.022959	0.669 ± 0.043913	0.3849 ± 0.025026	0.687 ± 0.057878	0.678 ± 0.050784	0.830 ± 0.006941	0.856 ± 0.050967	0.935 ± 0.008333	0.922 ± 0.011132	0.778 ± 0.000000	0.891 ± 0.043913
roc_auc	0.934 ± 0.009173	0.829 ± 0.024898	0.11316 ± 0.005893	0.810 ± 0.026587	0.657 ± 0.049796	0.3870 ± 0.027425	0.667 ± 0.059576	0.662 ± 0.054458	0.834 ± 0.016957	0.833 ± 0.050132	0.932 ± 0.009553	0.919 ± 0.013854	0.789 ± 0.023424	0.868 ± 0.045201
