	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.888 ± 0.021059	0.775 ± 0.038867	0.13824 ± 0.012272	0.740 ± 0.044956	0.551 ± 0.077733	0.4249 ± 0.028962	0.584 ± 0.089434	0.567 ± 0.082972	0.768 ± 0.029801	0.816 ± 0.065723	0.885 ± 0.021786	0.868 ± 0.018334	0.678 ± 0.043823	0.873 ± 0.051604
precision_recall_auc	0.888 ± 0.017839	0.795 ± 0.021188	0.14059 ± 0.015763	0.762 ± 0.023743	0.590 ± 0.042376	0.4287 ± 0.038930	0.633 ± 0.061991	0.611 ± 0.050213	0.782 ± 0.017027	0.850 ± 0.061835	0.886 ± 0.018153	0.861 ± 0.027709	0.694 ± 0.039284	0.895 ± 0.052705
roc_auc	0.876 ± 0.024433	0.789 ± 0.028550	0.14643 ± 0.018666	0.755 ± 0.030778	0.579 ± 0.057100	0.4458 ± 0.046674	0.627 ± 0.087358	0.602 ± 0.070493	0.776 ± 0.018228	0.851 ± 0.081603	0.874 ± 0.025002	0.848 ± 0.030490	0.683 ± 0.037497	0.895 ± 0.064461
