	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.866 ± 0.077175	0.876 ± 0.045703	0.15666 ± 0.029638	0.863 ± 0.050300	0.753 ± 0.091407	0.7385 ± 0.391523	0.769 ± 0.097501	0.760 ± 0.093876	0.875 ± 0.038847	0.894 ± 0.076454	0.855 ± 0.088960	0.884 ± 0.075301	0.839 ± 0.055246	0.914 ± 0.069267
precision_recall_auc	0.863 ± 0.056783	0.847 ± 0.047649	0.14625 ± 0.014035	0.835 ± 0.049404	0.694 ± 0.095299	0.5960 ± 0.249688	0.693 ± 0.098408	0.693 ± 0.096834	0.884 ± 0.039866	0.809 ± 0.073491	0.852 ± 0.068470	0.887 ± 0.037398	0.867 ± 0.046849	0.827 ± 0.076661
roc_auc	0.862 ± 0.065209	0.860 ± 0.045675	0.14430 ± 0.015488	0.847 ± 0.050898	0.720 ± 0.091351	0.5528 ± 0.176759	0.722 ± 0.091470	0.721 ± 0.091329	0.885 ± 0.047275	0.837 ± 0.065387	0.849 ± 0.076659	0.897 ± 0.042210	0.861 ± 0.065473	0.859 ± 0.065870
