	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.765, 0.959]	[0.775, 0.922]	[0.11195, 0.21912]	[0.757, 0.914]	[0.551, 0.843]	[0.3543, 1.4497]	[0.546, 0.880]	[0.548, 0.856]	[0.808, 0.913]	[0.737, 1.000]	[0.713, 0.958]	[0.716, 0.962]	[0.722, 0.889]	[0.773, 1.000]
precision_recall_auc	[0.748, 0.932]	[0.753, 0.922]	[0.12939, 0.17934]	[0.737, 0.914]	[0.505, 0.843]	[0.4080, 1.1128]	[0.500, 0.854]	[0.503, 0.849]	[0.800, 0.944]	[0.700, 0.941]	[0.716, 0.931]	[0.808, 0.946]	[0.778, 0.944]	[0.727, 0.955]
roc_auc	[0.782, 0.955]	[0.793, 0.949]	[0.12022, 0.16507]	[0.765, 0.944]	[0.586, 0.899]	[0.3809, 0.8652]	[0.604, 0.899]	[0.595, 0.899]	[0.792, 0.955]	[0.762, 0.944]	[0.750, 0.955]	[0.851, 0.971]	[0.722, 0.944]	[0.773, 0.955]
