	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.676 ± 0.057249	0.641 ± 0.036941	0.22738 ± 0.015634	0.669 ± 0.034745	0.283 ± 0.073883	0.6979 ± 0.073499	0.342 ± 0.093626	0.310 ± 0.081363	0.791 ± 0.074493	0.551 ± 0.028284	0.661 ± 0.062854	0.725 ± 0.040857	0.856 ± 0.070273	0.427 ± 0.064993
precision_recall_auc	0.760 ± 0.059977	0.687 ± 0.043560	0.20127 ± 0.020210	0.701 ± 0.033242	0.374 ± 0.087120	0.6020 ± 0.071915	0.408 ± 0.079446	0.390 ± 0.083066	0.813 ± 0.045125	0.595 ± 0.042277	0.749 ± 0.065912	0.794 ± 0.038339	0.856 ± 0.038845	0.518 ± 0.083540
roc_auc	0.746 ± 0.057806	0.684 ± 0.049198	0.20441 ± 0.017777	0.696 ± 0.040300	0.367 ± 0.098396	0.6259 ± 0.080334	0.401 ± 0.088436	0.383 ± 0.092811	0.806 ± 0.051636	0.595 ± 0.049347	0.734 ± 0.064478	0.787 ± 0.036513	0.844 ± 0.057378	0.523 ± 0.098776
