	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.590, 0.886]	[0.684, 0.854]	[0.13137, 0.24375]	[0.683, 0.842]	[0.369, 0.707]	[0.4004, 0.8362]	[0.373, 0.700]	[0.371, 0.704]	[0.765, 0.900]	[0.609, 0.800]	[0.562, 0.882]	[0.710, 0.899]	[0.722, 0.889]	[0.591, 0.818]
precision_recall_auc	[0.766, 0.912]	[0.702, 0.876]	[0.12018, 0.20142]	[0.684, 0.865]	[0.404, 0.753]	[0.3833, 0.7645]	[0.400, 0.747]	[0.402, 0.750]	[0.750, 0.905]	[0.650, 0.842]	[0.756, 0.910]	[0.790, 0.917]	[0.722, 0.889]	[0.682, 0.864]
roc_auc	[0.763, 0.923]	[0.730, 0.876]	[0.11449, 0.18480]	[0.718, 0.865]	[0.460, 0.753]	[0.3552, 0.7956]	[0.456, 0.747]	[0.458, 0.750]	[0.789, 0.905]	[0.667, 0.842]	[0.746, 0.921]	[0.808, 0.924]	[0.778, 0.889]	[0.682, 0.864]
